Name,Description,Start Date,End Date,Multiple Dates or Times,Event Category,Age Range,Owner,Fulfillment Method,Fulfillment Type,Fulfillment Date,Enforce Quantity Limit,Maximum Tickets,Split Groups,Volunteer Event,Volunteers Assigned,Ticket Delivery Method,Ticket Instructions,Ticket Instruction Details,Display On Web,Display Delivery Method,Allow Date Selection,Allow Time Selection,Display Start Date,Display End Date,More Information Title,More Information Url,Web URL,Venue,Address Line 1,Address Line 2,Address Line 3,City,State or Province,Postal Code,County,Market,Metro Area,Country,Contact Name,Contact Email,Contact Phone,TFK Area,TFK Market,TFK Region,Total Requested,Total Distributed,Total Donated,Total Remaining
Arizona Diamondbacks vs. Chicago Cubs,--- MLB: xxx tickets available for the game. Celebrate Opening Day with a home run of excitement that’s sure to knock it out of the park!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Chicago Cubs,--- MLB: xxx tickets available for the game. Enjoy dazzling postgame fireworks that will light up the night sky!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Chicago Cubs,--- MLB: xxx tickets available for the game. Experience the excitement of the showdown as your favorite teams battle it out on the field!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Chicago Cubs,"--- MLB: xxx tickets available for the game. Enjoy a splash of creativity at the Paint at the Park event, where every ticket is a brush with fun!",,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Baltimore Orioles,--- MLB: xxx tickets available for the game. Get ready for a home run of an experience!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Baltimore Orioles,--- MLB: xxx tickets available for the game. Bring your furry friend for Bark at the Park and enjoy a tail-wagging good time!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Baltimore Orioles,--- MLB: xxx tickets available for the game. Experience the excitement of the matchup as the teams battle it out on the diamond!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Milwaukee Brewers,--- MLB: xxx tickets available for the game. Enjoy a night under the stars with postgame fireworks that will really light up the field!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Milwaukee Brewers,--- MLB: xxx tickets available for the game. Grab your tickets and enjoy a fun night with a Eugenio Suárez Bobble to take home as a memento!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Milwaukee Brewers,"--- MLB: xxx tickets available for the game. Experience the thrill of the game with great seats, where every pitch counts!",,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Tampa Bay Rays,--- MLB: xxx tickets available for the game. Celebrate Jackie Robinson Day with special pre-game festivities that hit it out of the park!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Tampa Bay Rays,--- MLB: xxx tickets available for the game. Get ready for a home run of an experience!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Tampa Bay Rays,--- MLB: xxx tickets available for the game. Catch the excitement of the game as the crowd rallies behind the home team!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Atlanta Braves,"--- MLB: xxx tickets available for the game. Celebrate a night of thrills and chills, topped off with a dazzling Postgame Fireworks show that'll light up the sky!",,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Atlanta Braves,--- MLB: xxx tickets available for the game. Score a sweet Diamondbacks Replica Jersey while cheering on the team!,,,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Atlanta Braves,--- MLB: xxx tickets available for the game. Join in for a stretch on the field at the special Yoga on the Field event and find your inner peace while enjoying the game!,2025-04-27 13:10:00,2025-04-27 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-04-25,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
